sentence,prompt,label,predicted_label
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"an impossible romance , but we root for the patronized iranian lad .","Review: maintains your interest until the end and even leaves you with a few lingering animated thoughts . Sentiment: 1. Review: walter hill 's undisputed is like a 1940s warner bros. . Sentiment: 1. Review: the holes in this film remain agape -- holes punched through by an inconsistent , meandering , and sometimes dry plot . Sentiment: 0. Review: thanks largely to williams , all the interesting developments are processed in 60 ### minutes -- the rest is just an overexposed waste of film . Sentiment: 0. Review: an impossible romance , but we root for the patronized iranian lad . Sentiment:<mask>.",1,
"an impossible romance , but we root for the patronized iranian lad .","Review: maintains your interest until the end and even leaves you with a few lingering animated thoughts . Sentiment: 1. Review: walter hill 's undisputed is like a 1940s warner bros. . Sentiment: 1. Review: thanks largely to williams , all the interesting developments are processed in 60 ### minutes -- the rest is just an overexposed waste of film . Sentiment: 0. Review: the holes in this film remain agape -- holes punched through by an inconsistent , meandering , and sometimes dry plot . Sentiment: 0. Review: an impossible romance , but we root for the patronized iranian lad . Sentiment:<mask>.",1,
"an impossible romance , but we root for the patronized iranian lad .","Review: maintains your interest until the end and even leaves you with a few lingering animated thoughts . Sentiment: 1. Review: the holes in this film remain agape -- holes punched through by an inconsistent , meandering , and sometimes dry plot . Sentiment: 0. Review: walter hill 's undisputed is like a 1940s warner bros. . Sentiment: 1. Review: thanks largely to williams , all the interesting developments are processed in 60 ### minutes -- the rest is just an overexposed waste of film . Sentiment: 0. Review: an impossible romance , but we root for the patronized iranian lad . Sentiment:<mask>.",1,
"an impossible romance , but we root for the patronized iranian lad .","Review: maintains your interest until the end and even leaves you with a few lingering animated thoughts . Sentiment: 1. Review: the holes in this film remain agape -- holes punched through by an inconsistent , meandering , and sometimes dry plot . Sentiment: 0. Review: thanks largely to williams , all the interesting developments are processed in 60 ### minutes -- the rest is just an overexposed waste of film . Sentiment: 0. Review: walter hill 's undisputed is like a 1940s warner bros. . Sentiment: 1. Review: an impossible romance , but we root for the patronized iranian lad . Sentiment:<mask>.",1,
"an impossible romance , but we root for the patronized iranian lad .","Review: maintains your interest until the end and even leaves you with a few lingering animated thoughts . Sentiment: 1. Review: thanks largely to williams , all the interesting developments are processed in 60 ### minutes -- the rest is just an overexposed waste of film . Sentiment: 0. Review: walter hill 's undisputed is like a 1940s warner bros. . Sentiment: 1. Review: the holes in this film remain agape -- holes punched through by an inconsistent , meandering , and sometimes dry plot . Sentiment: 0. Review: an impossible romance , but we root for the patronized iranian lad . Sentiment:<mask>.",1,
"an impossible romance , but we root for the patronized iranian lad .","Review: maintains your interest until the end and even leaves you with a few lingering animated thoughts . Sentiment: 1. Review: thanks largely to williams , all the interesting developments are processed in 60 ### minutes -- the rest is just an overexposed waste of film . Sentiment: 0. Review: the holes in this film remain agape -- holes punched through by an inconsistent , meandering , and sometimes dry plot . Sentiment: 0. Review: walter hill 's undisputed is like a 1940s warner bros. . Sentiment: 1. Review: an impossible romance , but we root for the patronized iranian lad . Sentiment:<mask>.",1,
"an impossible romance , but we root for the patronized iranian lad .","Review: walter hill 's undisputed is like a 1940s warner bros. . Sentiment: 1. Review: maintains your interest until the end and even leaves you with a few lingering animated thoughts . Sentiment: 1. Review: the holes in this film remain agape -- holes punched through by an inconsistent , meandering , and sometimes dry plot . Sentiment: 0. Review: thanks largely to williams , all the interesting developments are processed in 60 ### minutes -- the rest is just an overexposed waste of film . Sentiment: 0. Review: an impossible romance , but we root for the patronized iranian lad . Sentiment:<mask>.",1,
"an impossible romance , but we root for the patronized iranian lad .","Review: walter hill 's undisputed is like a 1940s warner bros. . Sentiment: 1. Review: maintains your interest until the end and even leaves you with a few lingering animated thoughts . Sentiment: 1. Review: thanks largely to williams , all the interesting developments are processed in 60 ### minutes -- the rest is just an overexposed waste of film . Sentiment: 0. Review: the holes in this film remain agape -- holes punched through by an inconsistent , meandering , and sometimes dry plot . Sentiment: 0. Review: an impossible romance , but we root for the patronized iranian lad . Sentiment:<mask>.",1,
"an impossible romance , but we root for the patronized iranian lad .","Review: walter hill 's undisputed is like a 1940s warner bros. . Sentiment: 1. Review: the holes in this film remain agape -- holes punched through by an inconsistent , meandering , and sometimes dry plot . Sentiment: 0. Review: maintains your interest until the end and even leaves you with a few lingering animated thoughts . Sentiment: 1. Review: thanks largely to williams , all the interesting developments are processed in 60 ### minutes -- the rest is just an overexposed waste of film . Sentiment: 0. Review: an impossible romance , but we root for the patronized iranian lad . Sentiment:<mask>.",1,
"an impossible romance , but we root for the patronized iranian lad .","Review: walter hill 's undisputed is like a 1940s warner bros. . Sentiment: 1. Review: the holes in this film remain agape -- holes punched through by an inconsistent , meandering , and sometimes dry plot . Sentiment: 0. Review: thanks largely to williams , all the interesting developments are processed in 60 ### minutes -- the rest is just an overexposed waste of film . Sentiment: 0. Review: maintains your interest until the end and even leaves you with a few lingering animated thoughts . Sentiment: 1. Review: an impossible romance , but we root for the patronized iranian lad . Sentiment:<mask>.",1,
